Generation,Rollouts,Constant,Max_Depth,Weight,Decay
1,50.0,1.4142135623730956,4.0,1.0,1.0
2,50.2,1.4168308450005456,3.8,1.0130959622989346,0.979510709267797
3,51.375,1.4393440895892118,3.6875,0.9994562333596397,1.0035332448803627
4,51.705882352941174,1.4005335997124246,3.7058823529411766,0.9888362355293481,1.0078697585279666
5,52.89473684210526,1.3929927825232011,3.8421052631578947,0.9995678620403091,1.0274056352764809
6,52.666666666666664,1.3824464987868945,3.9444444444444446,1.0039475395466402,1.0286291942403787
7,53.23809523809524,1.4255710339320606,3.9523809523809526,0.9757503887508695,1.041961555027907
8,54.17391304347826,1.4702505209702024,3.739130434782609,0.9861778466279055,1.0547002316706682
9,55.80952380952381,1.5150085373203774,3.9523809523809526,0.9790130426539496,1.0697394660092525
10,55.904761904761905,1.4974795789295614,3.9523809523809526,0.9693634058896734,1.0677849428787818
